X--Trace 1::[V(out)],Y--Trace 1::[V(out)]
0,4.99997
1e-09,4.98968
2e-09,4.97572
3e-09,4.95993
4e-09,4.94284
5e-09,4.92473
6e-09,4.90577
7e-09,4.88608
8e-09,4.86574
9e-09,4.84482
1e-08,4.82337
1.1e-08,4.80145
1.2e-08,4.77909
1.3e-08,4.75631
1.4e-08,4.73315
1.5e-08,4.70964
1.6e-08,4.68578
1.7e-08,4.66161
1.8e-08,4.63713
1.9e-08,4.61236
2e-08,4.58732
2.1e-08,4.56202
2.2e-08,4.53646
2.3e-08,4.51067
2.4e-08,4.48464
2.5e-08,4.4584
2.6e-08,4.43194
2.7e-08,4.40527
2.8e-08,4.37841
2.9e-08,4.35136
3e-08,4.32412
3.1e-08,4.2967
3.2e-08,4.2691
3.3e-08,4.24134
3.4e-08,4.21342
3.5e-08,4.18534
3.6e-08,4.1571
3.7e-08,4.12872
3.8e-08,4.10019
3.9e-08,4.07152
4e-08,4.04271
4.1e-08,4.01377
4.2e-08,3.9847
4.3e-08,3.9555
4.4e-08,3.92618
4.5e-08,3.89673
4.6e-08,3.86717
4.7e-08,3.8375
4.8e-08,3.80771
4.9e-08,3.77781
5e-08,3.7478
5.1e-08,3.71769
5.2e-08,3.68748
5.3e-08,3.65717
5.4e-08,3.62676
5.5e-08,3.59625
5.6e-08,3.56566
5.7e-08,3.53497
5.8e-08,3.50419
5.9e-08,3.47332
6e-08,3.44236
6.1e-08,3.41133
6.2e-08,3.38021
6.3e-08,3.349
6.4e-08,3.31772
6.5e-08,3.28637
6.6e-08,3.25493
6.7e-08,3.22343
6.8e-08,3.19185
6.9e-08,3.16019
7e-08,3.12847
7.1e-08,3.09668
7.2e-08,3.06482
7.3e-08,3.0329
7.4e-08,3.00091
7.5e-08,2.96885
7.6e-08,2.93674
7.7e-08,2.90456
7.8e-08,2.87232
7.9e-08,2.84003
8e-08,2.80767
8.1e-08,2.77526
8.2e-08,2.74279
8.3e-08,2.71027
8.4e-08,2.6777
8.5e-08,2.64507
8.6e-08,2.61239
8.7e-08,2.57966
8.8e-08,2.54688
8.9e-08,2.51405
9e-08,2.48117
9.1e-08,2.44825
9.2e-08,2.41528
9.3e-08,2.38226
9.4e-08,2.3492
9.5e-08,2.31609
9.6e-08,2.28295
9.7e-08,2.24976
9.8e-08,2.21652
9.9e-08,2.18325
1e-07,2.14994
1.01e-07,2.11659
1.02e-07,2.0832
1.03e-07,2.04977
1.04e-07,2.01631
1.05e-07,1.9828
1.06e-07,1.94927
1.07e-07,1.91569
1.08e-07,1.88209
1.09e-07,1.84845
1.1e-07,1.81477
1.11e-07,1.78107
1.12e-07,1.74733
1.13e-07,1.71356
1.14e-07,1.67976
1.15e-07,1.64593
1.16e-07,1.61207
1.17e-07,1.57818
1.18e-07,1.54426
1.19e-07,1.51031
1.2e-07,1.47634
1.21e-07,1.44234
1.22e-07,1.40831
1.23e-07,1.37426
1.24e-07,1.34018
1.25e-07,1.30608
1.26e-07,1.27195
1.27e-07,1.2378
1.28e-07,1.20362
1.29e-07,1.16943
1.3e-07,1.1352
1.31e-07,1.10096
1.32e-07,1.0667
1.33e-07,1.03241
1.34e-07,0.998108
1.35e-07,0.963782
1.36e-07,0.929436
1.37e-07,0.89507
1.38e-07,0.860686
1.39e-07,0.826283
1.4e-07,0.791862
1.41e-07,0.757423
1.42e-07,0.722966
1.43e-07,0.688493
1.44e-07,0.654003
1.45e-07,0.619497
1.46e-07,0.584975
1.47e-07,0.550437
1.48e-07,0.515885
1.49e-07,0.481321
1.5e-07,0.446749
1.51e-07,0.412195
1.52e-07,0.377744
1.53e-07,0.343714
1.54e-07,0.311135
1.55e-07,0.28232
1.56e-07,0.259964
1.57e-07,0.243752
1.58e-07,0.231988
1.59e-07,0.222973
1.6e-07,0.216011
